genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 24.73856209150327},"{'trajectory': 0.5564562169085384, 'white_gazing': 0.12811986266106618}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [8,8])}",{'brightness': 18.92156862745098},"{'trajectory': 0.009452118607000935, 'white_gazing': 0.14376373750779367}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 26.078431372549023},"{'trajectory': -1.5587878447004062, 'white_gazing': 0.12246846863427606}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.41176470588235},"{'trajectory': -0.7533831108987393, 'white_gazing': 0.10842398678168248}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 22.254901960784316},"{'trajectory': 0.5766076338830798, 'white_gazing': 0.11181391798927226}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 30.947712418300654},"{'trajectory': 1.7382261837644504, 'white_gazing': 0.13320829652142716}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 21.209150326797385},"{'trajectory': 0.07642735701186273, 'white_gazing': 0.13867453945761546}",0
"{VisionData(w=0, h=0), CPPN:8:3([2, 2], [15,17])}",{'brightness': 18.92156862745098},"{'trajectory': 0.004553753575567556, 'white_gazing': 0.15402435904464315}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.816993464052285},"{'trajectory': -0.12192992936019913, 'white_gazing': 0.10636041152805542}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 19.11764705882353},"{'trajectory': -2, 'white_gazing': 0.1148479959573078}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 25.49019607843137},"{'trajectory': 0.5383006523420154, 'white_gazing': 0.13644421123919248}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [8,8])}",{'brightness': 18.92156862745098},"{'trajectory': 0.009452118607000935, 'white_gazing': 0.14376373750779367}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.568627450980394},"{'trajectory': 1.148785678207825, 'white_gazing': 0.11449900131913329}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': 0.5396370352424192, 'white_gazing': 0.11046040420012997}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.41176470588235},"{'trajectory': -0.7533831108987393, 'white_gazing': 0.10842398678168248}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 37.908496732026144},"{'trajectory': 0.7798013049453151, 'white_gazing': 0.12667111311396143}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.41176470588235},"{'trajectory': -0.7533831108987393, 'white_gazing': 0.10842398678168248}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 34.11764705882353},"{'trajectory': 0.20943619701233507, 'white_gazing': 0.12445571123903698}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 19.31372549019608},"{'trajectory': 0.45841622161354123, 'white_gazing': 0.09212249727614616}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,14])}",{'brightness': 35.55555555555556},"{'trajectory': -0.01685052176728712, 'white_gazing': 0.17723391187376536}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.54248366013072},"{'trajectory': 0.8183431278686455, 'white_gazing': 0.11513522039248007}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 28.202614379084967},"{'trajectory': -0.8950021091444881, 'white_gazing': 0.11142612835480173}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': -1.184550462198656, 'white_gazing': 0.11269579192913974}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.41176470588235},"{'trajectory': -0.7533831108987393, 'white_gazing': 0.10842398678168248}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.901960784313726},"{'trajectory': -0.7483397205977445, 'white_gazing': 0.09931751741417201}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.15032679738562},"{'trajectory': 2, 'white_gazing': 0.11957699569063497}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.281045751633986},"{'trajectory': 0.9909769500991001, 'white_gazing': 0.11387802401550351}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 29.248366013071898},"{'trajectory': 0.25363156015988, 'white_gazing': 0.11000070979339437}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 20.0},"{'trajectory': -0.33198340537795507, 'white_gazing': 0.09804714864713357}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 33.790849673202615},"{'trajectory': -1.0590994104490365, 'white_gazing': 0.11421468333233044}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 19.11764705882353},"{'trajectory': 0.43197333014255507, 'white_gazing': 0.09880958623944641}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 26.73202614379085},"{'trajectory': -1.3019065746238723, 'white_gazing': 0.12096746095503744}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 33.790849673202615},"{'trajectory': -1.0590994104490365, 'white_gazing': 0.11421468333233044}",0
