genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.21132897603486},"{'white_gazing': 0.10928951779354393, 'distance': 0.4115460691040004}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.182280319535224},"{'white_gazing': 0.1061363426355451, 'distance': 1.0861240395638585}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.182280319535224},"{'white_gazing': 0.1061363426355451, 'distance': 1.0861240395638585}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 19.12854030501089},"{'white_gazing': 0.0989718592346679, 'distance': 0.23006120816511472}",0
"{VisionData(w=0, h=0), CPPN:8:3([2, 2], [14,16])}",{'brightness': 21.3362381989833},"{'white_gazing': 0.1229916488465659, 'distance': 0.6308049126566657}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.614379084967318},"{'white_gazing': 0.12096408579481117, 'distance': 0.8823263609190845}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 20.87145969498911},"{'white_gazing': 0.12449349861619707, 'distance': 2.22174494291493}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.015587997249484783}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,15])}",{'brightness': 21.873638344226578},"{'white_gazing': 0.11817216457833003, 'distance': 0.20137288907145415}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 18.03921568627451},"{'white_gazing': 0.11909185542487888, 'distance': 1.5993804813083667}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.628903413217138},"{'white_gazing': 0.09835044667000323, 'distance': 0.2256435728221701}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 21.85911401597676},"{'white_gazing': 0.11802129742244422, 'distance': 1.1405235576716384}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 36.702977487291214},"{'white_gazing': 0.14275873275680598, 'distance': 0.40563648973410515}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 19.462599854756718},"{'white_gazing': 0.09844696833766124, 'distance': 0.2689574419825478}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 23.39869281045752},"{'white_gazing': 0.1291072560469064, 'distance': 1.7623506225079038}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.63907044299201},"{'white_gazing': 0.10637151128270834, 'distance': 1.150212040645584}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.11546840958606},"{'white_gazing': 0.11160176992263635, 'distance': 1.6095588880564922}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 19.317356572258536},"{'white_gazing': 0.10129744735498178, 'distance': 0.13298036791474865}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.56572258533043},"{'white_gazing': 0.12796991003171, 'distance': 1.1223489646824731}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.69063180827887},"{'white_gazing': 0.11584779011249605, 'distance': 0.5321592976012497}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.21132897603486},"{'white_gazing': 0.10551368139546571, 'distance': 0.2069691399943851}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 23.67465504720407},"{'white_gazing': 0.12557920856527566, 'distance': 0.6324356546345906}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.182280319535224},"{'white_gazing': 0.11394989618710794, 'distance': 1.2984829026355127}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.56572258533043},"{'white_gazing': 0.12796991003171, 'distance': 1.1223489646824731}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 37.167755991285404},"{'white_gazing': 0.17245631743377898, 'distance': 0.24094230603660063}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 25.85330428467683},"{'white_gazing': 0.103137027959332, 'distance': 0.015587997249484783}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 14.39360929557008},"{'white_gazing': 0.14393609295570045, 'distance': 6.194058980898638e-06}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 37.167755991285404},"{'white_gazing': 0.17245631743377898, 'distance': 0.24094230603660063}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 23.09368191721133},"{'white_gazing': 0.12457167459608605, 'distance': 1.0101176034994268}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 19.78213507625272},"{'white_gazing': 0.10829228302210975, 'distance': 0.3928783168180209}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 29.920116194625994},"{'white_gazing': 0.13588280227671837, 'distance': 0.5623919202235954}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 30.58823529411764},"{'white_gazing': 0.12169946869027724, 'distance': 0.5702730711701928}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.47276688453159},"{'white_gazing': 0.10770184489951122, 'distance': 0.6388134077483026}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [15,16])}",{'brightness': 23.848946986201888},"{'white_gazing': 0.1234986662269698, 'distance': 1.3499742109872055}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.062454611474223},"{'white_gazing': 0.12945555184736585, 'distance': 1.103166758875933}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 31.851851851851855},"{'white_gazing': 0.1359318282198213, 'distance': 0.2819781736671097}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 14.39360929557008},"{'white_gazing': 0.14393609295570045, 'distance': 5.911710186607969e-16}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 70.54466230936819},"{'white_gazing': 0.356082745196405, 'distance': 2.952294670043422}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 19.535221496005807},"{'white_gazing': 0.11185192248069119, 'distance': 0.3357899234958209}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.22585330428468},"{'white_gazing': 0.09265883368639542, 'distance': 0.381737762341245}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.062454611474223},"{'white_gazing': 0.12945555184736585, 'distance': 1.103166758875933}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [12,15])}",{'brightness': 19.535221496005807},"{'white_gazing': 0.11185192248069119, 'distance': 0.3357899234958209}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 33.56572258533043},"{'white_gazing': 0.12796991003171, 'distance': 1.1223489646824731}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [15,16])}",{'brightness': 24.11038489469862},"{'white_gazing': 0.1102928231781369, 'distance': 0.6055376725853421}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 30.58823529411764},"{'white_gazing': 0.12169946869027724, 'distance': 0.5702730711701928}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.93972403776325},"{'white_gazing': 0.12876766951559696, 'distance': 0.7063387062573139}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 34.04502541757444},"{'white_gazing': 0.1255452178004528, 'distance': 0.681219624982284}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [15,16])}",{'brightness': 21.161946259985474},"{'white_gazing': 0.11878274317394287, 'distance': 1.6768362613341787}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.74074074074074},"{'white_gazing': 0.11847819069126357, 'distance': 0.7479733035182168}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.062454611474223},"{'white_gazing': 0.12945555184736585, 'distance': 1.103166758875933}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [12,15])}",{'brightness': 19.535221496005807},"{'white_gazing': 0.11185192248069119, 'distance': 0.3357899234958209}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 17.182280319535224},"{'white_gazing': 0.09199743419880821, 'distance': 0.8526357312264231}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.411038489469863},"{'white_gazing': 0.11446647365385704, 'distance': 1.25447924767687}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,15])}",{'brightness': 14.39360929557008},"{'white_gazing': 0.14393609295570045, 'distance': 5.911710186607969e-16}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.87145969498911},"{'white_gazing': 0.12449349861619707, 'distance': 2.22174494291493}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.595497458242555},"{'white_gazing': 0.10874383352469488, 'distance': 0.3728778616816911}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 20.900508351488742},"{'white_gazing': 0.13453811658742326, 'distance': 1.8339083695867735}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 24.67683369644154},"{'white_gazing': 0.11442166018606836, 'distance': 0.24730058098946456}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [15,16])}",{'brightness': 23.848946986201888},"{'white_gazing': 0.1234986662269698, 'distance': 1.3499742109872055}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 23.02106027596223},"{'white_gazing': 0.12238669777423576, 'distance': 0.8477156496228581}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 19.535221496005807},"{'white_gazing': 0.11185192248069119, 'distance': 0.3357899234958209}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 22.062454611474223},"{'white_gazing': 0.12945555184736585, 'distance': 1.103166758875933}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 21.37981118373275},"{'white_gazing': 0.1137459064870835, 'distance': 1.1346740115344074}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.182280319535224},"{'white_gazing': 0.11546682234944941, 'distance': 1.686620759810707}",0
